"BehaviorSpace results (NetLogo 6.2.0)"
"harvest.nlogo"
"hunt"
"05/23/2022 17:05:03:954 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","52","0","32"
"[run number]","render?","always-update-turtle-constants","density","spread-rate","num-turtles-s1","num-turtles-s2","shoot-vision-s1","shoot-vision-s2","shoot-accuracy-s1","shoot-accuracy-s2","shoot-threshold-s1","shoot-threshold-s2","shoot-chance-s1","shoot-chance-s2","eat-vision-s1","eat-vision-s2","eat-threshold-s1","eat-threshold-s2","[step]","overall-avg-gain","s1-avg-gain","s2-avg-gain","equality","sum-tics-alive / (ticks * num-turtles)","sum-time-gains / (sum [gain] of turtles + 0.001)"
"24","false","false","30","10","10","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.16966966966966968","0.13683683683683684","0.33383383383383386","0.7924451003924019","0.984","460.32179925181947"
"26","false","false","30","10","12","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.13621955288621956","0.13621955288621956","0","0.885535803225148","1","503.5544987418869"
"27","false","false","30","10","0","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.05021688355021688","0","0.05021688355021688","0.6451719822812846","0.5865","144.42667038759072"
"25","false","false","30","10","11","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.13880547213880548","0.12075712075712075","0.33733733733733734","0.8307290064102564","0.9886666666666667","493.8176118884544"
"28","false","false","30","10","1","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.058308308308308306","0.007007007007007007","0.06297206297206297","0.6875298063451967","0.68","152.93683413900695"
"30","false","false","30","10","3","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06564898231564899","0.020687354020687353","0.08063619174730285","0.5656442609063956","0.654","237.7112608497321"
"29","false","false","30","10","2","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.058141474808141476","0.03003003003003003","0.06376376376376376","0.5906069344811096","0.6364166666666666","159.17050334217598"
"31","false","false","30","10","4","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.07607607607607608","0.035035035035035036","0.0965965965965966","0.674990350877193","0.6734166666666667","257.04577078314605"
"32","false","false","30","10","5","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.08967300633967301","0.08768768768768768","0.09109109109109109","0.6531007765383692","0.7525833333333334","314.61645151958"
"33","false","false","30","10","6","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.08641975308641975","0.030196863530196863","0.14264264264264265","0.6001643500643501","0.8091666666666667","222.16580872026185"
"34","false","false","30","10","7","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.08108108108108109","0.044044044044044044","0.13293293293293293","0.6381315500685871","0.8111666666666667","248.8392501653805"
"35","false","false","30","10","8","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.1588254921588255","0.1174924924924925","0.2414914914914915","0.7795117647058823","0.9068333333333334","422.29074459519717"
"36","false","false","30","10","9","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.07540874207540874","0.03214325436547659","0.20520520520520522","0.5033185863600729","0.9155","323.7020755508014"
"39","false","false","30","10","12","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.15115115115115116","0.15115115115115116","0","0.9230212656364974","1","502.12996571193946"
"37","false","false","30","10","10","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.11102769436102769","0.06696696696696697","0.33133133133133136","0.5784245679939894","0.9725","456.59544959019564"
"38","false","false","30","10","11","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.15623957290623958","0.13904813904813904","0.34534534534534533","0.851630521445097","0.998","487.8854843110068"
"40","false","false","30","10","0","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06156156156156156","0","0.06156156156156156","0.6637308058732452","0.6641666666666667","197.02005823840346"
"41","false","false","30","10","1","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.05855855855855856","0.01001001001001001","0.06297206297206297","0.6750762583095916","0.6389166666666667","162.79748889246596"
"42","false","false","30","10","2","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.05321988655321989","0.004004004004004004","0.06306306306306306","0.6069443051201672","0.65325","167.6408030708416"
"43","false","false","30","10","3","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.07807807807807808","0.028028028028028028","0.09476142809476143","0.553162678062678","0.67125","302.86292429174756"
"44","false","false","30","10","4","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.0711544878211545","0.041791791791791794","0.08583583583583583","0.6886479108604537","0.7035","201.876668374363"
"45","false","false","30","10","5","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06448114781448115","0.02062062062062062","0.09581009581009581","0.5577757222940922","0.694","228.02169725524288"
"46","false","false","30","10","6","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.07882882882882883","0.028361695028361694","0.12929596262929596","0.5917225749559083","0.7883333333333333","210.81776633040602"
"47","false","false","30","10","7","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.09134134134134134","0.05248105248105248","0.14574574574574575","0.637010197869102","0.8635833333333334","283.4472297285573"
"48","false","false","30","10","8","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.10877544210877545","0.06856856856856856","0.1891891891891892","0.6614263814499413","0.8865","353.350189148628"
"49","false","false","30","10","9","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.12979646312979645","0.09476142809476143","0.23490156823490158","0.7471008568980291","0.9353333333333333","401.134703640936"
"51","false","false","30","10","11","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.14497831164497832","0.12585312585312586","0.35535535535535534","0.7928694668200997","0.998","504.8949914298093"
"50","false","false","30","10","10","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.14581247914581247","0.11971971971971972","0.27627627627627627","0.7980595728451564","0.978","463.6833731788483"
